age,industry,title,annual_salary,bonus_salary,currency,country,state,city,overall_experience,field_experience,education,gender,fixed_country,exchange_rate,annual_salary_usd,bonus_salary_usd,total_salary_usd
35-44,Aerospace contracting,Project engineer ,122000.0,3600.0,USD,United States,,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,122000.0,3600.0,125600.0
25-34,Insurance,Pricing Analyst,45000.0,2000.0,GBP,UK,,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,united kingdom,1.19112,53600.4,2382.24,55982.64
25-34,Engineering or Manufacturing,Marketing Coordinator,45000.0,0.0,USD,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,united states,1.0,45000.0,0.0,0.0
35-44,Computing or Tech,Tech Writer,88000.0,0.0,USD,USA,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,88000.0,0.0,0.0
35-44,Nonprofits,Supervisory Archivist,71000.0,0.0,USD,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,71000.0,0.0,71000.0
45-54,Education (Higher Education),Program Manager,71000.0,0.0,USD,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,united states,1.0,71000.0,0.0,0.0
35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000.0,0.0,USD,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,75000.0,0.0,75000.0
35-44,Education (Higher Education),Manager of Market Research and Data,80000.0,0.0,USD,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,united states,1.0,80000.0,0.0,80000.0
35-44,Computing or Tech,Senior Business Analyst,125000.0,0.0,USD,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,125000.0,0.0,0.0
35-44,Education (Higher Education),Special Collections Cataloger,65000.0,0.0,USD,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,65000.0,0.0,0.0
45-54,Education (Primary/Secondary),Teacher ,36000.0,0.0,GBP,Scotland ,,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,united kingdom,1.19112,42880.32,0.0,0.0
25-34,Nonprofits,Graphic Designer / Webmaster,55000.0,0.0,USD,U.S.,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,55000.0,0.0,0.0
25-34,Art & Design,Senior UX Designer,90000.0,1000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,90000.0,1000.0,91000.0
35-44,Engineering or Manufacturing,Senior Engineer ,105000.0,13000.0,USD,United States ,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,united states,1.0,105000.0,13000.0,118000.0
35-44,Nonprofits,Office Administrator,60000.0,0.0,CAD,Canada,,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,canada,0.750496,45029.76,0.0,45029.76
35-44,Education (Higher Education),Digital Archivist,65000.0,0.0,USD,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,65000.0,0.0,65000.0
25-34,Business or Consulting,Associate Program Manager,85000.0,8500.0,USD,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,united states,1.0,85000.0,8500.0,93500.0
25-34,Sales,CSR,39520.0,0.0,USD,United States ,Oregon,Portland ,8 - 10 years,2 - 4 years,Some college,Woman,united states,1.0,39520.0,0.0,0.0
45-54,Computing or Tech,Director of Engineering,115000.0,0.0,CAD,Canada,,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,canada,0.750496,86307.04000000001,0.0,0.0
25-34,Energy,Fuel Efficiency Program Analyst,76000.0,0.0,USD,United States ,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,76000.0,0.0,76000.0
55-64,Business or Consulting,Senior Vice President of Marketing,180000.0,60000.0,USD,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,united states,1.0,180000.0,60000.0,240000.0
25-34,"Accounting, Banking & Finance",Accounting Manager,90000.0,0.0,USD,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,90000.0,0.0,90000.0
25-34,Government and Public Administration,Technical Assistant,19300.0,0.0,GBP,United Kingdom,,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,united kingdom,1.19112,22988.615999999998,0.0,22988.615999999998
55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000.0,5000.0,USD,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,united states,1.0,65000.0,5000.0,70000.0
45-54,Computing or Tech,senior web application developer,98166.0,0.0,USD,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,united states,1.0,98166.0,0.0,98166.0
25-34,Education (Primary/Secondary),Director of Development,63500.0,0.0,USD,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,united states,1.0,63500.0,0.0,0.0
55-64,Environmental regulation,Quality Assurance Lead,58.0,0.0,USD,USA,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,united states,1.0,58.0,0.0,0.0
25-34,Nonprofits,Program & Administrative Assistant,47700.0,2000.0,USD,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,47700.0,2000.0,49700.0
55-64,Computing or Tech,Chief Engineer,87000.0,8000.0,USD,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,united states,1.0,87000.0,8000.0,95000.0
35-44,Media & Digital,Production Co-ordinator,48000.0,0.0,CAD,Canada,,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,canada,0.750496,36023.808000000005,0.0,0.0
25-34,Education (Higher Education),Administrative Support Assistant,39635.0,305.0,USD,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,39635.0,305.0,39940.0
25-34,Government and Public Administration,Administrative Officer,53000.0,0.0,USD,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,united states,1.0,53000.0,0.0,0.0
45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255.0,0.0,USD,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,united states,1.0,47255.0,0.0,47255.0
35-44,Property or Construction,Senior Project Manager,196000.0,10000.0,USD,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,196000.0,10000.0,206000.0
45-54,Health care,Customer Service Representative,34361.0,0.0,USD,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,34361.0,0.0,34361.0
45-54,Engineering or Manufacturing,Senior Device Engineer,150000.0,20000.0,USD,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,150000.0,20000.0,170000.0
25-34,Hospitality & Events,Graphic Designer,75000.0,0.0,USD,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,united states,1.0,75000.0,0.0,75000.0
35-44,Education (Higher Education),Graduate Student,20000.0,0.0,USD,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,20000.0,0.0,0.0
25-34,Computing or Tech,Senior Financial Analyst,107220.0,16083.0,USD,US,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,united states,1.0,107220.0,16083.0,123303.0
35-44,Government and Public Administration,Case Manager,78000.0,0.0,CAD,Canada,,Halifax,11 - 20 years,5-7 years,College degree,Woman,canada,0.750496,58538.688,0.0,0.0
45-54,Education (Higher Education),Professor,95000.0,10000.0,USD,USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,united states,1.0,95000.0,10000.0,105000.0
45-54,Sales,Office Manager,42000.0,0.0,USD,USA,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,united states,1.0,42000.0,0.0,0.0
25-34,"Accounting, Banking & Finance",Finance Manager,100000.0,5000.0,USD,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,100000.0,5000.0,105000.0
25-34,Computing or Tech,Software engineer,50000.0,0.0,GBP,United Kingdom,,Nottingham,5-7 years,2 - 4 years,High School,Man,united kingdom,1.19112,59556.0,0.0,0.0
35-44,Education (Higher Education),Medical Education Director,119000.0,2500.0,USD,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,119000.0,2500.0,121500.0
45-54,"Accounting, Banking & Finance",Finance acountant,66000.0,5000.0,GBP,UK,,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,united kingdom,1.19112,78613.92,5955.599999999999,84569.52
35-44,Transport or Logistics,Program manager,60000.0,3000.0,EUR,The Netherlands,,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,netherland,1.03929,62357.4,3117.8700000000003,65475.270000000004
25-34,Education (Higher Education),Associate Director of Donor Relations,75000.0,0.0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,75000.0,0.0,0.0
35-44,Education (Higher Education),Assistant Professor of Law,145000.0,15000.0,USD,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,united states,1.0,145000.0,15000.0,160000.0
25-34,"Accounting, Banking & Finance",investment advisor,95000.0,10000.0,CAD,Canada,,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,canada,0.750496,71297.12000000001,7504.960000000001,78802.08
25-34,"Marketing, Advertising & PR",Content Writer,48000.0,2000.0,USD,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,48000.0,2000.0,50000.0
45-54,"Accounting, Banking & Finance",Assistant Director of Finance,75000.0,10000.0,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,75000.0,10000.0,85000.0
35-44,Media & Digital,Digital Marketing Specialist,42000.0,0.0,USD,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,42000.0,0.0,42000.0
35-44,Nonprofits,Archivist,54000.0,100.0,USD,US,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,united states,1.0,54000.0,100.0,54100.0
35-44,Education (Higher Education),Assistant Professor,92000.0,0.0,CAD,Canada,,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,canada,0.750496,69045.632,0.0,0.0
45-54,Government and Public Administration,Head of Public Sector Data Sharing ,50870.0,0.0,GBP,United Kingdom,,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,united kingdom,1.19112,60592.274399999995,0.0,60592.274399999995
55-64,Medical Devices,QC Supervisor,60000.0,500.0,USD,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,united states,1.0,60000.0,500.0,60500.0
55-64,Nonprofits,Content Development Manager,101500.0,0.0,USD,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,united states,1.0,101500.0,0.0,101500.0
25-34,Academic research (Psychology),Clinical Research Assistant II,36883.0,150.0,USD,USA,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,36883.0,150.0,37033.0
25-34,Media & Digital,news editor,85000.0,0.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,85000.0,0.0,85000.0
25-34,Education (Higher Education),Senior Administrative Assistant ,62000.0,0.0,USD,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,united states,1.0,62000.0,0.0,62000.0
35-44,Computing or Tech,Product Manager,130000.0,0.0,USD,United States,,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,130000.0,0.0,130000.0
55-64,Education (Higher Education),career services professional,55000.0,0.0,USD,United States,,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,united states,1.0,55000.0,0.0,0.0
25-34,Government and Public Administration,Project Coordinator,59015.0,0.0,USD,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,united states,1.0,59015.0,0.0,0.0
25-34,Business or Consulting,"Associate Manager, Education",71000.0,3000.0,USD,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,united states,1.0,71000.0,3000.0,74000.0
45-54,Social Work,Director,53000.0,0.0,USD,USA,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,united states,1.0,53000.0,0.0,0.0
25-34,public library,Senior Librarian,63000.0,0.0,USD,USA,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,63000.0,0.0,63000.0
35-44,Engineering or Manufacturing,Project Estimator,95000.0,5000.0,USD,United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,95000.0,5000.0,100000.0
35-44,Surveying ,Accounts manager ,85000.0,0.0,AUD,Australia ,,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,australia,0.671307,57061.095,0.0,57061.095
35-44,Nonprofits,Customer Advocate,35000.0,3000.0,USD,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,united states,1.0,35000.0,3000.0,38000.0
35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000.0,2500.0,USD,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,united states,1.0,56000.0,2500.0,58500.0
35-44,Education (Higher Education),Associate Director,85000.0,0.0,USD,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,85000.0,0.0,0.0
35-44,Education (Higher Education),Editor,62000.0,0.0,USD,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,62000.0,0.0,62000.0
25-34,Nonprofits,Program Associate,63000.0,1000.0,USD,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,63000.0,1000.0,64000.0
25-34,Recruitment or HR,Senior People Advisor,45000.0,10000.0,GBP,United Kingdom,,London,11 - 20 years,8 - 10 years,College degree,Woman,united kingdom,1.19112,53600.4,11911.199999999999,65511.6
25-34,Education (Higher Education),English as a Second Language Teacher,18000.0,0.0,EUR,Spain,,,8 - 10 years,5-7 years,College degree,Woman,spain,1.03929,18707.22,0.0,18707.22
35-44,Nonprofits,Online Sales Support Manager,86000.0,6000.0,USD,United States,,New York ,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,86000.0,6000.0,92000.0
18-24,PhD,PhD Candidate,19000.0,0.0,GBP,UK,,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,united kingdom,1.19112,22631.28,0.0,22631.28
35-44,Education (Higher Education),Research Technologist,42000.0,0.0,USD,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,united states,1.0,42000.0,0.0,0.0
55-64,Biopharma,RIM Manager,114000.0,30000.0,USD,US,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,united states,1.0,114000.0,30000.0,144000.0
45-54,Insurance,Senior Client Service Representative,73000.0,0.0,USD,us,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman,united states,1.0,73000.0,0.0,73000.0
35-44,Nonprofits,Funding Manager,54000.0,0.0,GBP,UK,,London,11 - 20 years,11 - 20 years,College degree,Woman,united kingdom,1.19112,64320.479999999996,0.0,64320.479999999996
